timestamp,day,hour,route,weather,distance_m,travel_time_s,traffic_delay_s,traffic_length_m,congestion_ratio
2026-04-20 00:00,Monday,0,Berger-Lagos Island,"Rain, Partially cloudy",26594,2959,127,949,1.04
2026-04-20 00:30,Monday,0,Berger-Lagos Island,"Rain, Partially cloudy",26880,3215,353,2046,1.12
2026-04-20 00:45,Monday,0,Berger-Lagos Island,"Rain, Partially cloudy",26491,3146,325,1886,1.12
2026-04-20 01:15,Monday,1,Berger-Lagos Island,"Rain, Partially cloudy",26318,3091,289,2016,1.1
2026-04-20 01:45,Monday,1,Berger-Lagos Island,"Rain, Partially cloudy",26659,3149,311,1357,1.11
2026-04-20 02:00,Monday,2,Berger-Lagos Island,"Rain, Partially cloudy",26673,3119,279,1330,1.1
2026-04-20 02:15,Monday,2,Berger-Lagos Island,"Rain, Partially cloudy",26448,3102,286,1735,1.1
2026-04-20 02:30,Monday,2,Berger-Lagos Island,"Rain, Partially cloudy",27223,3038,140,905,1.05
2026-04-20 02:45,Monday,2,Berger-Lagos Island,"Rain, Partially cloudy",26898,2894,30,138,1.01
2026-04-20 03:15,Monday,3,Berger-Lagos Island,"Rain, Partially cloudy",26871,2922,61,413,1.02
2026-04-20 03:30,Monday,3,Berger-Lagos Island,"Rain, Partially cloudy",26543,2853,27,115,1.01
2026-04-20 03:45,Monday,3,Berger-Lagos Island,"Rain, Partially cloudy",26492,2821,0,0,1.0
2026-04-20 04:00,Monday,4,Berger-Lagos Island,"Rain, Partially cloudy",26747,2961,113,436,1.04
2026-04-20 04:15,Monday,4,Berger-Lagos Island,"Rain, Partially cloudy",26516,2894,71,388,1.03
2026-04-20 04:45,Monday,4,Berger-Lagos Island,"Rain, Partially cloudy",26540,2840,14,97,1.0
2026-04-20 05:00,Monday,5,Berger-Lagos Island,"Rain, Partially cloudy",26486,3008,188,1171,1.07
2026-04-20 05:15,Monday,5,Berger-Lagos Island,"Rain, Partially cloudy",26260,2825,29,225,1.01
2026-04-20 05:30,Monday,5,Berger-Lagos Island,"Rain, Partially cloudy",26615,3090,256,2051,1.09
2026-04-20 05:45,Monday,5,Berger-Lagos Island,"Rain, Partially cloudy",26434,3002,188,1322,1.07
2026-04-20 06:00,Monday,6,Berger-Lagos Island,"Rain, Partially cloudy",26627,3141,307,2712,1.11
2026-04-20 06:45,Monday,6,Berger-Lagos Island,"Rain, Partially cloudy",26568,2941,113,793,1.04
2026-04-20 07:00,Monday,7,Berger-Lagos Island,"Rain, Partially cloudy",26474,3259,441,2329,1.16
2026-04-20 07:15,Monday,7,Berger-Lagos Island,"Rain, Partially cloudy",26927,3206,340,2374,1.12
2026-04-20 07:45,Monday,7,Berger-Lagos Island,"Rain, Partially cloudy",26416,3391,578,3473,1.21
2026-04-20 08:00,Monday,8,Berger-Lagos Island,"Rain, Partially cloudy",26175,3306,519,3604,1.19
2026-04-20 08:15,Monday,8,Berger-Lagos Island,"Rain, Partially cloudy",26640,3399,563,3460,1.2
2026-04-20 08:30,Monday,8,Berger-Lagos Island,"Rain, Partially cloudy",26505,3219,397,2378,1.14
2026-04-20 08:45,Monday,8,Berger-Lagos Island,"Rain, Partially cloudy",26587,3260,430,3053,1.15
2026-04-20 09:15,Monday,9,Berger-Lagos Island,"Rain, Partially cloudy",26031,3174,402,2598,1.15
2026-04-20 09:45,Monday,9,Berger-Lagos Island,"Rain, Partially cloudy",26627,3159,324,1536,1.11
2026-04-20 10:00,Monday,10,Berger-Lagos Island,"Rain, Partially cloudy",26876,3200,338,2601,1.12
2026-04-20 10:45,Monday,10,Berger-Lagos Island,"Rain, Partially cloudy",26669,2983,143,823,1.05
2026-04-20 11:15,Monday,11,Berger-Lagos Island,"Rain, Partially cloudy",26347,3019,214,1889,1.08
2026-04-20 11:30,Monday,11,Berger-Lagos Island,"Rain, Partially cloudy",26536,2935,109,845,1.04
2026-04-20 12:30,Monday,12,Berger-Lagos Island,Light/Moderate Rain,26802,3518,664,4565,1.23
2026-04-20 12:45,Monday,12,Berger-Lagos Island,Light/Moderate Rain,26493,3427,606,4153,1.22
2026-04-20 13:15,Monday,13,Berger-Lagos Island,Light/Moderate Rain,26331,3392,588,4404,1.21
2026-04-20 13:45,Monday,13,Berger-Lagos Island,Light/Moderate Rain,27012,3388,512,3646,1.18
2026-04-20 14:30,Monday,14,Berger-Lagos Island,Light/Moderate Rain,26816,3400,545,3766,1.19
2026-04-20 14:45,Monday,14,Berger-Lagos Island,Light/Moderate Rain,26712,3445,601,5216,1.21
2026-04-20 15:15,Monday,15,Berger-Lagos Island,Light/Moderate Rain,26369,3356,548,3959,1.2
2026-04-20 15:30,Monday,15,Berger-Lagos Island,Light/Moderate Rain,26934,3600,732,5278,1.26
2026-04-20 15:45,Monday,15,Berger-Lagos Island,Light/Moderate Rain,26440,3662,847,3581,1.3
2026-04-20 16:00,Monday,16,Berger-Lagos Island,Wet Roads (residual),26926,3425,559,3810,1.19
2026-04-20 16:45,Monday,16,Berger-Lagos Island,Wet Roads (residual),26768,3907,1057,7760,1.37
2026-04-20 17:00,Monday,17,Berger-Lagos Island,Wet Roads (residual),26988,4320,1446,6412,1.5
2026-04-20 17:45,Monday,17,Berger-Lagos Island,Wet Roads (residual),26956,4658,1788,13372,1.62
2026-04-20 18:00,Monday,18,Berger-Lagos Island,"Rain, Partially cloudy",26878,4408,1547,8261,1.54
2026-04-20 18:15,Monday,18,Berger-Lagos Island,"Rain, Partially cloudy",26484,4315,1496,9904,1.53
2026-04-20 19:00,Monday,19,Berger-Lagos Island,"Rain, Partially cloudy",26297,4205,1405,7626,1.5
2026-04-20 19:15,Monday,19,Berger-Lagos Island,"Rain, Partially cloudy",26407,4134,1322,9025,1.47
2026-04-20 19:30,Monday,19,Berger-Lagos Island,"Rain, Partially cloudy",26432,3944,1130,10974,1.4
2026-04-20 19:45,Monday,19,Berger-Lagos Island,"Rain, Partially cloudy",26000,3790,1021,6925,1.37
2026-04-20 20:00,Monday,20,Berger-Lagos Island,"Rain, Partially cloudy",26907,3667,803,4262,1.28
2026-04-20 20:15,Monday,20,Berger-Lagos Island,"Rain, Partially cloudy",26798,3592,739,5764,1.26
2026-04-20 20:30,Monday,20,Berger-Lagos Island,"Rain, Partially cloudy",26532,3359,534,3089,1.19
2026-04-20 20:45,Monday,20,Berger-Lagos Island,"Rain, Partially cloudy",27196,3382,486,3455,1.17
2026-04-20 21:30,Monday,21,Berger-Lagos Island,"Rain, Partially cloudy",26414,3200,388,2781,1.14
2026-04-20 22:15,Monday,22,Berger-Lagos Island,"Rain, Partially cloudy",26243,2892,98,873,1.03
2026-04-20 22:30,Monday,22,Berger-Lagos Island,"Rain, Partially cloudy",26499,2821,0,0,1.0
2026-04-20 23:00,Monday,23,Berger-Lagos Island,"Rain, Partially cloudy",26641,2992,156,782,1.05
2026-04-20 23:15,Monday,23,Berger-Lagos Island,"Rain, Partially cloudy",26701,2946,103,578,1.04
2026-04-20 23:45,Monday,23,Berger-Lagos Island,"Rain, Partially cloudy",27139,3026,137,635,1.05
2026-04-21 00:00,Tuesday,0,Berger-Lagos Island,"Rain, Partially cloudy",26021,3031,260,1633,1.09
2026-04-21 00:30,Tuesday,0,Berger-Lagos Island,"Rain, Partially cloudy",26482,3016,197,1104,1.07
2026-04-21 00:45,Tuesday,0,Berger-Lagos Island,"Rain, Partially cloudy",26751,3203,355,1936,1.12
2026-04-21 01:45,Tuesday,1,Berger-Lagos Island,"Rain, Partially cloudy",27042,3224,345,1937,1.12
2026-04-21 02:00,Tuesday,2,Berger-Lagos Island,"Rain, Partially cloudy",26574,3200,370,2286,1.13
2026-04-21 02:15,Tuesday,2,Berger-Lagos Island,"Rain, Partially cloudy",26899,3217,353,2726,1.12
2026-04-21 02:30,Tuesday,2,Berger-Lagos Island,"Rain, Partially cloudy",26645,3136,299,2249,1.11
2026-04-21 02:45,Tuesday,2,Berger-Lagos Island,"Rain, Partially cloudy",26740,2940,93,589,1.03
2026-04-21 03:00,Tuesday,3,Berger-Lagos Island,"Rain, Partially cloudy",26826,2916,60,314,1.02
2026-04-21 03:30,Tuesday,3,Berger-Lagos Island,"Rain, Partially cloudy",26888,2999,137,1016,1.05
2026-04-21 03:45,Tuesday,3,Berger-Lagos Island,"Rain, Partially cloudy",26634,2919,83,428,1.03
2026-04-21 04:00,Tuesday,4,Berger-Lagos Island,"Rain, Partially cloudy",26424,2842,29,230,1.01
2026-04-21 04:45,Tuesday,4,Berger-Lagos Island,"Rain, Partially cloudy",26715,2951,106,611,1.04
2026-04-21 05:00,Tuesday,5,Berger-Lagos Island,"Rain, Partially cloudy",26711,2910,66,287,1.02
2026-04-21 05:15,Tuesday,5,Berger-Lagos Island,"Rain, Partially cloudy",26411,2812,0,0,1.0
2026-04-21 05:45,Tuesday,5,Berger-Lagos Island,"Rain, Partially cloudy",26587,3062,231,1494,1.08
2026-04-21 06:30,Tuesday,6,Berger-Lagos Island,"Rain, Partially cloudy",26604,3209,377,2675,1.13
2026-04-21 06:45,Tuesday,6,Berger-Lagos Island,"Rain, Partially cloudy",26511,3162,339,2319,1.12
2026-04-21 07:00,Tuesday,7,Berger-Lagos Island,"Rain, Partially cloudy",26669,3158,319,1704,1.11
2026-04-21 07:15,Tuesday,7,Berger-Lagos Island,"Rain, Partially cloudy",26795,3236,383,3322,1.13
